question_id,subject,chapter,topic,question,options,correct_option,answer,explanation,question_type,paper_id
4sIot5QGUtwc9g6c,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols",During dehydration of alcohols to alkenes by heating with conc. H<sub>2</sub>SO<sub>4</sub> the initiation step is,"[{""identifier"": ""A"", ""content"": ""formation of carbocation""}, {""identifier"": ""B"", ""content"": ""elimination of water""}, {""identifier"": ""C"", ""content"": ""formation of an ester""}, {""identifier"": ""D"", ""content"": ""protonation of alcohol molecule""}]","[""D""]",,"The dehydration of alcohol to form alkene occurs in following three step. Step $$(1)$$ is initiation  step. 
<br><br><img class=""question-image"" src=""https://res.cloudinary.com/dckxllbjy/image/upload/v1734265357/exam_images/cs2p08bqyx4s5tu0eulf.webp"" loading=""lazy"" alt=""AIEEE 2003 Chemistry - Alcohols, Phenols and Ethers Question 159 English Explanation""> ",mcq,aieee-2003
wD7xPfbcf8ctAFRK,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols","Acetyl bromide reacts with excess of CH<sub>3</sub>MgI followed by treatment with a saturated solution
of NH<sub>4</sub>Cl given ","[{""identifier"": ""A"", ""content"": ""acetone""}, {""identifier"": ""B"", ""content"": ""acetyl iodide ""}, {""identifier"": ""C"", ""content"": ""2- methyl -2- propanol ""}, {""identifier"": ""D"", ""content"": ""acetamide ""}]","[""C""]",,"<img class=""question-image"" src=""https://res.cloudinary.com/dckxllbjy/image/upload/v1734265331/exam_images/heqbvydbtolxroxpxvro.webp"" loading=""lazy"" alt=""AIEEE 2004 Chemistry - Alcohols, Phenols and Ethers Question 150 English Explanation""> ",mcq,aieee-2004
2nHqBAvmBhJ6Guml,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols",Acid catalyzed hydration of alkenes except ethene leads to the formation of ,"[{""identifier"": ""A"", ""content"": ""primary alcohol ""}, {""identifier"": ""B"", ""content"": ""secondary or tertiary alcohol ""}, {""identifier"": ""C"", ""content"": ""mixture of primary and secondary alcohols ""}, {""identifier"": ""D"", ""content"": ""mixture of secondary and tertiary alcohols ""}]","[""D""]",,"Water adds directly to the more reactive alkene in presence of a strongly acidic catalyst forming alcohols. Addition occurs according to Markonikov's rule.
<br><br><img class=""question-image"" src=""https://res.cloudinary.com/dckxllbjy/image/upload/v1734266019/exam_images/xznugh2uceum9r8ymjxl.webp"" loading=""lazy"" alt=""AIEEE 2005 Chemistry - Alcohols, Phenols and Ethers Question 161 English Explanation""> ",mcq,aieee-2005
M7I9T2V8qoOi1qGw,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols",The best reagent to convert pent -3- en-2-ol into pent -3-en-2-one is,"[{""identifier"": ""A"", ""content"": ""Acidic permanganate""}, {""identifier"": ""B"", ""content"": ""Acidic dichromate""}, {""identifier"": ""C"", ""content"": ""Chromic anhydride in glacial acetic acid ""}, {""identifier"": ""D"", ""content"": ""Pyridinium chloro \u2013 chromate""}]","[""D""]",,"<img class=""question-image"" src=""https://res.cloudinary.com/dckxllbjy/image/upload/v1734263620/exam_images/vxqrvybbomh6cbto75ew.webp"" loading=""lazy"" alt=""AIEEE 2005 Chemistry - Alcohols, Phenols and Ethers Question 158 English Explanation"">
<br><br>Pyridiminum chloro-chromate $$(PCC)$$ is specific for the conversion. ",mcq,aieee-2005
TI4fYt2BBabwcPlc,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols","In the following sequence of reactions, <br/>
CH<sub>3</sub>CH<sub>2</sub>OH $$\buildrel {P + {I_2}} \over
 \longrightarrow $$ A $$\mathrel{\mathop{\kern0pt\longrightarrow}
\limits_{ether}^{Mg}} $$ B $$\buildrel {HCHO} \over
 \longrightarrow $$ C $$\buildrel {{H_2}O} \over
 \longrightarrow $$ D<br/>
the compound ‘D’ is ","[{""identifier"": ""A"", ""content"": ""butanal""}, {""identifier"": ""B"", ""content"": ""n-butyl alcohol ""}, {""identifier"": ""C"", ""content"": ""n-propyl alcohol ""}, {""identifier"": ""D"", ""content"": ""propanal ""}]","[""C""]",,"<img class=""question-image"" src=""https://res.cloudinary.com/dckxllbjy/image/upload/v1734267201/exam_images/lytfiwwcxshhqgbznwmk.webp"" loading=""lazy"" alt=""AIEEE 2007 Chemistry - Alcohols, Phenols and Ethers Question 156 English Explanation""> ",mcq,aieee-2007
F20jceMYLocIsmNj,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols","From amongst the following alcohols the one that would react fastest with conc. HCl and anhydrous
ZnCl<sub>2</sub>, is","[{""identifier"": ""A"", ""content"": ""2\u2013Butanol""}, {""identifier"": ""B"", ""content"": ""2\u2013Methylpropan\u20132\u2013ol""}, {""identifier"": ""C"", ""content"": ""2\u2013Methylpropanol""}, {""identifier"": ""D"", ""content"": ""1\u2013Butanol""}]","[""B""]",,"Tertiary alcohols react fastest with conc. $$HCl$$ and anhydrous $$ZnC{l_2}$$ (lucas reagent) as its mechanism proceeds through the formation of stable tertiary carbocation.
<br><br><b>Mechanism</b> 
<br><br><img class=""question-image"" src=""https://res.cloudinary.com/dckxllbjy/image/upload/v1734266825/exam_images/qxyjhqd32ziyoj0acmht.webp"" loading=""lazy"" alt=""AIEEE 2010 Chemistry - Alcohols, Phenols and Ethers Question 153 English Explanation""> ",mcq,aieee-2010
OF4fQ69S9QNL7Qbo,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols","An unknown alcohol is treated with the “Lucas reagent” to determine whether the alcohol is primary,
secondary or tertiary. Which alcohol reacts fastest and by what mechanism: ","[{""identifier"": ""A"", ""content"": ""tertiary alcohol by S<sub>N</sub>1""}, {""identifier"": ""B"", ""content"": ""secondary alcohol by S<sub>N</sub>2""}, {""identifier"": ""C"", ""content"": ""tertiary alcohol by S<sub>N</sub>2""}, {""identifier"": ""D"", ""content"": ""secondary alcohol by S<sub>N</sub>1 ""}]","[""A""]",,"Tertiary alcohols reacts fastest with lucas reagnet as the rate of reaction is directly proportional to the stability of carbocation formed in the reaction. Since most stable $${3^ \circ }$$ carbocation is formed in the reaction hence it will react fastest further tetriary alcohols appears to react by $${S_N}1$$ mechanism.
<br><br><img class=""question-image"" src=""https://res.cloudinary.com/dckxllbjy/image/upload/v1734266053/exam_images/ecmssxkb87hn6e7pc2hk.webp"" loading=""lazy"" alt=""JEE Main 2013 (Offline) Chemistry - Alcohols, Phenols and Ethers Question 151 English Explanation""> ",mcq,jee-main-2013-offline
jIFtaNeZrGrvSnIr,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols",The most suitable reagent for the conversion of R - CH<sub>2</sub> - OH $$\to$$ R - CHO is:,"[{""identifier"": ""A"", ""content"": ""CrO<sub>3</sub>""}, {""identifier"": ""B"", ""content"": ""PCC (Pyridinium Chlorochromate)""}, {""identifier"": ""C"", ""content"": ""KMnO<sub>4</sub>""}, {""identifier"": ""D"", ""content"": ""K<sub>2</sub>Cr<sub>2</sub>O<sub>7</sub>""}]","[""B""]",,"An excellent reagent for oxidation of $${1^ \circ }$$ alcohols to aldehydes is $$PCC.$$ 
<br><br><img class=""question-image"" src=""https://res.cloudinary.com/dckxllbjy/image/upload/v1734266516/exam_images/wwgmzmq4wh9x4inpfo6x.webp"" loading=""lazy"" alt=""JEE Main 2014 (Offline) Chemistry - Alcohols, Phenols and Ethers Question 149 English Explanation""> ",mcq,jee-main-2014-offline
tdjhEQYgwwe1qxvNtV9Ih,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols",The gas evolved on heating CH<sub>3</sub>MgBr in methanol is :,"[{""identifier"": ""A"", ""content"": ""HBr""}, {""identifier"": ""B"", ""content"": ""Methane""}, {""identifier"": ""C"", ""content"": ""Ethane""}, {""identifier"": ""D"", ""content"": ""Propane""}]","[""B""]",,"<img src=""https://res.cloudinary.com/dckxllbjy/image/upload/v1734267528/exam_images/vduodiffgaw8ujljnl3b.webp"" style=""max-width: 100%;  height: auto;display: block;margin: 0 auto;"" loading=""lazy"" alt=""JEE Main 2016 (Online) 9th April Morning Slot Chemistry - Alcohols, Phenols and Ethers Question 134 English Explanation"">",mcq,jee-main-2016-online-9th-april-morning-slot
0xVdcFmwK7EJXT4nkWYJI,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols",Bouveault-Blanc reduction reaction involves :,"[{""identifier"": ""A"", ""content"": ""Reduction of an acyl halide with  H<sub>2</sub>/Pd.""}, {""identifier"": ""B"", ""content"": ""Reduction of an ester with Na/C<sub>2</sub>H<sub>5</sub>OH.""}, {""identifier"": ""C"", ""content"": ""Reduction of a carbonyl compound with Na/Hg and HCl.""}, {""identifier"": ""D"", ""content"": ""Reduction of an anhydride with LiAlH<sub>4</sub>.""}]","[""B""]",,"<p> Bourveault–Blanc reduction involves the reduction of esters to primary alcohols in the presence of sodium and alcohol. </p>
<img src=""https://app-content.cdn.examgoal.net/fly/@width/image/1l3xad31c/f962100d-4a3d-4c18-ac0b-37d885a38f35/a8ae8a00-e298-11ec-8ea3-fd6d660fc854/file-1l3xad31d.png?format=png"" data-orsrc=""https://app-content.cdn.examgoal.net/image/1l3xad31c/f962100d-4a3d-4c18-ac0b-37d885a38f35/a8ae8a00-e298-11ec-8ea3-fd6d660fc854/file-1l3xad31d.png"" loading=""lazy"" style=""max-width: 100%; height: auto; display: block; margin: 0px auto; max-height: 40vh;"" alt=""JEE Main 2016 (Online) 9th April Morning Slot Chemistry - Alcohols, Phenols and Ethers Question 133 English Explanation"">",mcq,jee-main-2016-online-9th-april-morning-slot
