unique_id,Shift Name,Subject,Question Number,Question Text,Correct Option
e0d7c5a9-1325-4f0a-997d-fe2f4c1315b6,JEE Main 2025 (22 Jan Shift 1),Mathematics,1,"Let $a_1, a_2, a_3, \ldots$ be a G.P. of increasing terms. If $a_1 a_5 = 28$ and $a_2 + a_4 = 29$, then $a_6$ is equal to:

(1) 628  
(2) 812  
(3) 526  
(4) 784",4
08d4f2e5-79ce-4622-add6-d93266ac5637,JEE Main 2025 (22 Jan Shift 1),Mathematics,2,"Let $x = x(y)$ be the solution of the differential equation $y^2 \, dx + (x - \frac{1}{y}) \, dy = 0$. If $x(1) = 1$, then $x \left( \frac{1}{3} \right)$ is:

(1) $\frac{1}{3} + e$  
(2) $3 + e$  
(3) $3 - e$  
(4) $\frac{3}{2} + e$",3
204278cb-f634-49b7-aab5-39caf9d1b0c0,JEE Main 2025 (22 Jan Shift 1),Mathematics,3,"Two balls are selected at random one by one without replacement from a bag containing 4 white and 6 black balls. If the probability that the first selected ball is black, given that the second selected ball is also black, is $\frac{m}{n}$, where $\gcd(m, n) = 1$, then $m + n$ is equal to:

(1) 4  
(2) 14  
(3) 13  
(4) 11",2
e988b658-42ea-4ae7-bbdf-be615cbcb52c,JEE Main 2025 (22 Jan Shift 1),Mathematics,4,"The product of all solutions of the equation $e^{5 \log x^2 + 3} = x^8, x > 0$, is:

(1) $e^{8/5}$  
(2) $e^{6/5}$  
(3) $e^{2}$  
(4) $e$",1
f0f1ad4e-2071-4dce-8938-4c1fadada37b,JEE Main 2025 (22 Jan Shift 1),Mathematics,5,"Let the triangle PQR be the image of the triangle with vertices $(1, 3), (3, 1)$ and $(2, 4)$ in the line $x + 2y = 2$. If the centroid of $\triangle PQR$ is the point $(\alpha, \beta)$, then $15(\alpha - \beta)$ is equal to:

(1) 19  
(2) 24  
(3) 21  
(4) 22",4
664b04f0-da33-499a-a662-520d29573c7c,JEE Main 2025 (22 Jan Shift 1),Mathematics,6,"Let for $f(x) = 7 \tan^8 x + 7 \tan^6 x - 3 \tan^4 x - 3 \tan^2 x$, $I_1 = \int_{0}^{\pi/4} f(x) \, dx$ and $I_2 = \int_{0}^{\pi/4} x f(x) \, dx$. Then $7I_1 + 12I_2$ is equal to:

(1) 2  
(2) 1  
(3) $2\pi$  
(4) $\pi$",2
89bc55ee-62e6-4c46-b1ff-ec9357df79a0,JEE Main 2025 (22 Jan Shift 1),Mathematics,7,"Let the parabola $y = x^2 + px - 3$, meet the coordinate axes at the points P, Q and R. If the circle C with centre at $(\alpha, \beta)$ passes through the points P, Q and R, then the area of $\triangle PQR$ is:

(1) 7  
(2) 4  
(3) 3  
(4) 5",3
d747393b-66be-4c6a-a129-fad2f2e01985,JEE Main 2025 (22 Jan Shift 1),Mathematics,8,"Let $L_1 : \frac{x-1}{2} = \frac{y-2}{3} = \frac{z-3}{4}$ and $L_2 : \frac{x-3}{2} = \frac{y-4}{3} = \frac{z-5}{4}$ be two lines. Then which of the following points lies on the line of the shortest distance between $L_1$ and $L_2$?

(1) $\left( \frac{14}{5}, -3, \frac{22}{3} \right)$  
(2) $\left( -\frac{5}{3}, -7, 1 \right)$  
(3) $\left( 2, 3, \frac{1}{2} \right)$  
(4) $\left( \frac{5}{3}, -1, \frac{1}{2} \right)$",1
c485593e-f8a4-4b04-9036-b4b0f7085acc,JEE Main 2025 (22 Jan Shift 1),Mathematics,9,"Let $f(x)$ be a real differentiable function such that $f(0) = 1$ and $f(x + y) = f(x)f(y) + f'(x)f(y)$ for all $x, y \in \mathbb{R}$. Then $\sum_{n=1}^{100} \log_2 f(n)$ is equal to:

(1) 2525  
(2) 5220  
(3) 2384  
(4) 2406",1
1ef41510-bd7f-4907-ad8b-7d4fcc50395d,JEE Main 2025 (22 Jan Shift 1),Mathematics,10,"From all the English alphabets, five letters are chosen and are arranged in alphabetical order. The total number of ways, in which the middle letter is 'M', is:(1) 5148  
(2) 6084  
(3) 4356  
(4) 14950  ",1
